"";"ID";"ID_On_Plate";"Random_ID";"Experimentor";"Testing_Date";"Plate";"Weight_mg";"Colour";"Flow_Date";"Cells_per_g_feces_FR_mean";"Cells_per_g_feces_FR_sd";"Cells_per_g_feces_mean";"Cells_per_g_feces_sd";"Cells_per_g_feces_r1";"Cells_per_g_feces_r2";"Cells_per_g_feces_r3";"Cells_per_g_feces_FR_r1";"Cells_per_g_feces_FR_r2";"Cells_per_g_feces_FR_r3";"RunTime_sec_r1";"RunTime_sec_r2";"RunTime_sec_r3";"Events_per_sec_r1";"Events_per_sec_r2";"Events_per_sec_r3";"Events_slope_r1";"Events_slope_r2";"Events_slope_r3";"DilFac_Total_r1";"DilFac_Total_r2";"DilFac_Total_r3";"flow_muL_per_sec_from_beads_r1";"flow_muL_per_sec_from_beads_r2";"flow_muL_per_sec_from_beads_r3";"flow_muL_per_sec_from_bead_slopes_r1";"flow_muL_per_sec_from_bead_slopes_r2";"flow_muL_per_sec_from_bead_slopes_r3"
"21";"21090434";"21";"21";"Sandra";"2019-02-21";"1";101,5;NA;"2019-02-22";16713844929,4934;290787918,861922;17759386441,5229;596019468,988902;17286135746,6063;17563271055,7071;18428752522,2552;16378196509,9696;16889588584,2772;16873749694,2333;21,7490009689331;21,5100004959106;21,6080009841919;4597,91234286314;4649,00035771786;4627,9153760294;4590,69092864782;4639,81922240202;4596,31803407551;2117,64705882353;2117,64705882353;2117,64705882353;0,473737935130615;0,48082126987356;0,45781041537825;0,482068351256472;0,480983661752361;0,469743508997187
"22";"12040122";"22";"22";"Sandra";"2019-02-21";"1";95,4;NA;"2019-02-22";4539161992,59135;161167098,520295;4670087635,45774;530168836,583425;4182335240,33906;4593570018,97533;5234357647,05882;4354785898,31937;4653234407,23491;4609465672,21979;43,1710019683838;43,1190019607544;43,5559990310669;2316,36967965754;2319,16314044135;2295,89499092131;2360,80458300741;2327,01627084314;2305,85006394392;2117,64705882353;2117,64705882353;2117,64705882353;0,520616551288978;0,506494337521047;0,440308628395868;0,542203152532219;0,498487409162794;0,446291390841439
"23";"12041313";"23";"23";"Sandra";"2019-02-21";"1";107,3;NA;"2019-02-22";16405050540,2779;430613512,828953;19030559546,7839;613817514,572166;18544147058,8235;18827308502,9272;19720223078,601;15908323262,4543;16672766337,4773;16634062020,9021;19,1620002365112;18,6509999847412;18,76899974823;5218,66187066736;5361,64281174265;5327,93443131835;5222,40890091422;5361,74663579054;5330,94616788543;2117,64705882353;2117,64705882353;2117,64705882353;0,428931112657591;0,44278146116544;0,421751365453674;0,449519179059771;0,425188597391346;0,433024752115604
"24";"21090036";"24";"24";"Sandra";"2019-02-21";"1";109,7;NA;"2019-02-22";12970006982,8032;318904076,684643;15200881857,4228;606734705,302004;14730385435,1505;14986572686,1374;15885687450,9804;12610257100,5519;13217961486,1425;13081802361,7154;26,22;25,3830009841919;25,6650009918213;3813,882532418;3939,64449129866;3896,35675571831;3777,59042939969;3927,77053330847;3883,0755608075;2117,64705882353;2117,64705882353;2117,64705882353;0,428035544489574;0,440993473389987;0,411748072032855;0,429774899302199;0,423554661832821;0,427428695342393
"25";"12041029";"25";"25";"Sandra";"2019-02-21";"1";112,8;NA;"2019-02-22";11333406294,6372;540992524,371472;11822095838,1099;1156593570,00888;10920272570,3325;11419927885,1738;13126087058,8235;11042271287,0824;11000326520,1837;11957621076,6455;28,4880009841919;28,8080004882813;27,0670009613037;3510,24980852431;3471,25792505727;3694,53565036499;3492,84480345626;3446,21017062686;3672,96624234717;2117,64705882353;2117,64705882353;2117,64705882353;0,505585882401936;0,481628545766263;0,455490696620341;0,506575226651946;0,495915161721073;0,466349717399779
"26";"12040580";"26";"26";"Sandra";"2019-02-21";"1";93;NA;"2019-02-22";10070654083,6319;181359540,802747;10190072299,0779;1233402116,02656;9761140296,67519;9228403196,30307;11580673404,2553;10004558002,7763;9931612716,73955;10275791531,38;32,9359995269775;33,3310004806519;33,1699995040894;3036,19144511133;3000,20997143631;3014,77242975754;3022,23321127159;2985,14073375902;3002,89054447337;2117,64705882353;2117,64705882353;2117,64705882353;0,512468712604407;0,53810028156974;0,443661226453556;0,494298096628067;0,525475320027018;0,455292867998225
"27";"12042169";"27";"27";"Sandra";"2019-02-21";"1";101,2;NA;"2019-02-22";16761586014,5734;783327017,597618;19587099538,0804;2717958829,92865;18022396149,7326;18013378720,4125;22725523744,0962;16201655355,4631;16426360756,392;17656741931,8651;21,5510004806519;21,5459990310669;20,7039995193481;4640,15580574918;4641,23292012644;4829,98465617953;4623,88757100147;4652,24852911646;4840,22730747206;2117,64705882353;2117,64705882353;2117,64705882353;0,449486716995272;0,455948909178762;0,388478217943207;0,447361869624749;0,460934379486838;0,411950148564583
"28";"21090608";"28";"28";"Sandra";"2019-02-21";"1";96,9;NA;"2019-02-22";26927889110,0758;1564496763,72931;31049235377,0246;4105008426,30678;26330188950,7154;33022695383,1732;33794821797,1851;25137090563,5532;28029275150,021;27617301616,6531;12,1349997711182;11,57399974823;11,7099995040894;8240,62644302676;8640,05548430162;8539,7100115229;8265,88282082249;8712,37241027286;8598,85218932229;2117,64705882353;2117,64705882353;2117,64705882353;0,477343527815249;0,424394114786635;0,408602563173649;0,474171158180171;0,430002169929744;0,428409756528592
"29";"12041007";"29";"29";"Sandra";"2019-02-21";"1";115,7;NA;"2019-02-22";17146150666,9541;513815915,606266;19528191873,1679;2519641712,61587;17133936989,0329;19293798437,8814;22156840192,5895;16554664804,6806;17482082541,5741;17401704654,6075;21,5099990081787;20,8199990081787;21,0050009918213;4649,00067926443;4803,07419614751;4760,77102014596;4632,58757148891;4794,29813178228;4742,5191164767;2117,64705882353;2117,64705882353;2117,64705882353;0,483095765301255;0,453049268599433;0,392693734832001;0,486575839257858;0,447599109454742;0,412582693651587
"30";"71010075";"30";"30";"Sandra";"2019-02-21";"1";103,4;NA;"2019-02-22";15464434746,8914;777137884,84469;17336560939,4579;2339140320,45865;15682538956,7148;NA;18990582922,2011;14914915278,6008;NA;16013954215,1821;17,44899974823;NA;17,2660004806519;5730,98753182938;NA;5791,72924917147;5711,23369344006;NA;5803,61820610828;2117,64705882353;NA;2117,64705882353;0,47552616702459;NA;0,421628822053187;0,497850008628294;NA;0,435087101664297
